level_0,index,date,time,action,channel,note,velocity,datetime,timestamp
187,2283,29/06/2021,12:54:28.066,2,0,62,58,2021-06-29 12:54:28.066,1624960468.066
188,2284,29/06/2021,12:54:28.100,2,0,64,23,2021-06-29 12:54:28.100,1624960468.1
189,2285,29/06/2021,12:54:28.217,2,0,67,34,2021-06-29 12:54:28.217,1624960468.217
190,2286,29/06/2021,12:54:28.258,1,0,60,35,2021-06-29 12:54:28.258,1624960468.258
191,2287,29/06/2021,12:54:28.503,1,0,62,24,2021-06-29 12:54:28.503,1624960468.503
192,2288,29/06/2021,12:54:28.708,2,0,62,59,2021-06-29 12:54:28.708,1624960468.708
193,2289,29/06/2021,12:54:28.755,1,0,64,24,2021-06-29 12:54:28.755,1624960468.755
194,2290,29/06/2021,12:54:28.978,2,0,64,73,2021-06-29 12:54:28.978,1624960468.978
195,2291,29/06/2021,12:54:28.999,1,0,67,26,2021-06-29 12:54:28.999,1624960468.999
196,2292,29/06/2021,12:54:29.237,2,0,67,66,2021-06-29 12:54:29.237,1624960469.237
197,2293,29/06/2021,12:54:29.260,1,0,72,28,2021-06-29 12:54:29.260,1624960469.26
198,2294,29/06/2021,12:54:29.388,2,0,72,41,2021-06-29 12:54:29.388,1624960469.388
199,2295,29/06/2021,12:54:29.474,1,0,67,28,2021-06-29 12:54:29.474,1624960469.474
200,2296,29/06/2021,12:54:29.650,2,0,60,42,2021-06-29 12:54:29.650,1624960469.65
201,2297,29/06/2021,12:54:29.729,1,0,64,25,2021-06-29 12:54:29.729,1624960469.729
202,2298,29/06/2021,12:54:29.983,1,0,62,28,2021-06-29 12:54:29.983,1624960469.983
203,2299,29/06/2021,12:54:30.219,2,0,55,61,2021-06-29 12:54:30.219,1624960470.219
204,2300,29/06/2021,12:54:30.268,1,0,60,20,2021-06-29 12:54:30.268,1624960470.268
205,2301,29/06/2021,12:54:30.484,2,0,48,39,2021-06-29 12:54:30.484,1624960470.484
206,2302,29/06/2021,12:54:30.528,2,0,60,38,2021-06-29 12:54:30.528,1624960470.528
207,2303,29/06/2021,12:54:30.554,1,0,55,17,2021-06-29 12:54:30.554,1624960470.554
208,2304,29/06/2021,12:54:30.827,2,0,55,56,2021-06-29 12:54:30.827,1624960470.827
209,2305,29/06/2021,12:54:30.848,1,0,48,25,2021-06-29 12:54:30.848,1624960470.848
210,2306,29/06/2021,12:54:31.037,2,0,64,56,2021-06-29 12:54:31.037,1624960471.037
211,2307,29/06/2021,12:54:31.091,1,0,55,27,2021-06-29 12:54:31.091,1624960471.091
212,2308,29/06/2021,12:54:31.123,2,0,62,35,2021-06-29 12:54:31.123,1624960471.123
213,2309,29/06/2021,12:54:31.176,2,0,67,1,2021-06-29 12:54:31.176,1624960471.176
214,2310,29/06/2021,12:54:31.342,1,0,60,28,2021-06-29 12:54:31.342,1624960471.342
215,2311,29/06/2021,12:54:31.594,1,0,62,23,2021-06-29 12:54:31.594,1624960471.594
216,2312,29/06/2021,12:54:31.836,2,0,62,42,2021-06-29 12:54:31.836,1624960471.836
217,2313,29/06/2021,12:54:31.856,1,0,63,18,2021-06-29 12:54:31.856,1624960471.856
218,2314,29/06/2021,12:54:32.093,2,0,63,49,2021-06-29 12:54:32.093,1624960472.093
219,2315,29/06/2021,12:54:32.113,1,0,67,24,2021-06-29 12:54:32.113,1624960472.113
220,2316,29/06/2021,12:54:32.348,1,0,70,26,2021-06-29 12:54:32.348,1624960472.348
221,2317,29/06/2021,12:54:32.373,2,0,67,48,2021-06-29 12:54:32.373,1624960472.373
222,2318,29/06/2021,12:54:32.566,2,0,70,45,2021-06-29 12:54:32.566,1624960472.566
223,2319,29/06/2021,12:54:32.587,1,0,67,36,2021-06-29 12:54:32.587,1624960472.587
224,2320,29/06/2021,12:54:32.824,1,0,63,17,2021-06-29 12:54:32.824,1624960472.824
225,2321,29/06/2021,12:54:32.880,2,0,60,46,2021-06-29 12:54:32.880,1624960472.88
226,2322,29/06/2021,12:54:33.077,1,0,62,23,2021-06-29 12:54:33.077,1624960473.077
227,2323,29/06/2021,12:54:33.327,2,0,55,69,2021-06-29 12:54:33.327,1624960473.327
228,2324,29/06/2021,12:54:33.351,1,0,60,26,2021-06-29 12:54:33.351,1624960473.351
229,2325,29/06/2021,12:54:33.507,2,0,48,1,2021-06-29 12:54:33.507,1624960473.507
